tahun,wilayah,produksi_pertahun,curah_hujan,tingkat_kesuburan_tanah,harga,permintaan_pasar,luas_lahan_hektar,tingkat_konsumsi_perkapita_perkg
2021,Kabupaten Kepulauan Sula,2436,sedang,4,128915,sedang,63,7
2020,Kabupaten Pulau Morotai,1977,sedang,2,104254,sedang,139,5
2019,Kabupaten Pulau Taliabu,1526,rendah,2,57006,tinggi,4,5
2023,Kabupaten Pulau Taliabu,1120,sedang,2,124218,sedang,135,3
2019,Kabupaten Halmahera Utara,2062,rendah,4,115344,tinggi,61,5
2022,Kabupaten Pulau Morotai,3348,rendah,4,83840,sedang,107,2
2022,Kabupaten Kepulauan Sula,2681,sedang,2,82430,sedang,54,4
2024,Kabupaten Halmahera Selatan,2569,tinggi,4,73091,tinggi,88,6
2020,Kabupaten Halmahera Selatan,340,sedang,4,82983,rendah,68,1
2020,Kabupaten Kepulauan Sula,2031,sedang,4,73989,tinggi,129,4
2020,Kabupaten Halmahera Timur,367,rendah,2,125451,tinggi,55,6
2024,Kabupaten Halmahera Utara,1287,sedang,2,68990,tinggi,3,9
2022,Kabupaten Halmahera Barat,2099,rendah,2,140270,rendah,121,2
2019,Kabupaten Pulau Taliabu,2861,tinggi,4,130360,sedang,129,7
2024,Kabupaten Halmahera Tengah,3993,tinggi,2,86081,tinggi,102,6
2024,Kabupaten Halmahera Selatan,1921,tinggi,4,61033,tinggi,38,2
2019,Kabupaten Halmahera Tengah,1955,sedang,1,66241,rendah,85,8
2020,Kabupaten Halmahera Barat,3498,rendah,4,55939,tinggi,133,7
2023,Kabupaten Pulau Morotai,1578,tinggi,3,97562,sedang,92,5
2019,Kabupaten Halmahera Tengah,994,rendah,2,85063,rendah,21,5
2022,Kabupaten Halmahera Barat,3387,rendah,2,126721,sedang,109,7
2021,Kabupaten Pulau Taliabu,2824,tinggi,3,77045,sedang,47,9
2021,Kabupaten Kepulauan Sula,1385,tinggi,4,94769,rendah,84,9
2024,Kabupaten Halmahera Timur,3228,rendah,1,97118,tinggi,83,9
2021,Kabupaten Pulau Taliabu,2779,tinggi,3,134703,sedang,35,6
2023,Kabupaten Halmahera Selatan,1993,rendah,3,71625,sedang,69,6
2020,Kabupaten Halmahera Barat,2615,rendah,4,77076,sedang,129,3
2022,Kabupaten Halmahera Tengah,1358,tinggi,2,114805,sedang,140,1
2023,Kabupaten Halmahera Selatan,1078,sedang,4,94605,rendah,27,7
2022,Kabupaten Halmahera Timur,3947,tinggi,3,134565,rendah,56,4
2022,Kabupaten Kepulauan Sula,793,sedang,3,138509,sedang,23,1
2020,Kabupaten Pulau Morotai,1885,rendah,2,89121,tinggi,21,8
2024,Kabupaten Halmahera Selatan,1792,rendah,2,115101,sedang,61,6
2021,Kabupaten Pulau Morotai,2090,sedang,2,81433,tinggi,63,6
2020,Kabupaten Halmahera Barat,960,rendah,4,93309,sedang,122,2
2023,Kabupaten Halmahera Timur,1648,sedang,2,117468,tinggi,52,1
2024,Kabupaten Halmahera Tengah,1627,sedang,3,94254,sedang,88,2
2023,Kabupaten Halmahera Timur,1599,rendah,3,117293,tinggi,55,4
2024,Kabupaten Halmahera Timur,2286,sedang,1,146258,sedang,46,2
2023,Kabupaten Halmahera Utara,3360,tinggi,4,87853,sedang,32,1
2020,Kabupaten Halmahera Timur,2344,tinggi,1,88405,tinggi,55,7
2024,Kabupaten Halmahera Timur,3572,rendah,3,116652,rendah,96,8
2024,Kabupaten Pulau Taliabu,3816,rendah,1,93527,tinggi,133,6
2022,Kabupaten Halmahera Selatan,2228,sedang,3,127227,rendah,36,4
2022,Kabupaten Halmahera Tengah,1647,sedang,1,50492,sedang,110,6
2019,Kabupaten Pulau Taliabu,1358,sedang,2,143418,tinggi,106,3
2023,Kabupaten Pulau Taliabu,1276,sedang,1,58811,tinggi,58,8
2022,Kabupaten Halmahera Selatan,781,tinggi,2,143344,tinggi,39,2
2019,Kabupaten Halmahera Selatan,1027,tinggi,2,74272,rendah,80,5
2022,Kabupaten Halmahera Barat,2827,rendah,4,143935,rendah,97,1
2023,Kabupaten Halmahera Selatan,3436,sedang,2,122010,sedang,113,6
2024,Kabupaten Halmahera Utara,1331,sedang,2,142492,rendah,61,2
2021,Kabupaten Halmahera Utara,3672,rendah,1,97153,rendah,137,4
2023,Kabupaten Pulau Taliabu,642,sedang,3,104110,sedang,6,6
2020,Kabupaten Pulau Morotai,3802,sedang,4,63979,tinggi,109,8
2022,Kabupaten Halmahera Barat,1747,sedang,2,78328,tinggi,35,8
2022,Kabupaten Pulau Morotai,2679,sedang,4,62867,sedang,39,6
2024,Kabupaten Pulau Morotai,2785,sedang,1,109234,tinggi,118,4
2020,Kabupaten Pulau Taliabu,3959,rendah,2,75851,rendah,5,8
2024,Kabupaten Kepulauan Sula,2521,sedang,1,81279,sedang,87,8
2020,Kabupaten Pulau Taliabu,2906,rendah,4,146063,sedang,76,1
2021,Kabupaten Halmahera Tengah,826,sedang,1,123402,sedang,57,4
2022,Kabupaten Halmahera Tengah,2196,tinggi,4,65449,tinggi,127,4
2022,Kabupaten Halmahera Selatan,958,tinggi,1,126221,sedang,29,7
2021,Kabupaten Halmahera Selatan,2373,tinggi,4,139080,sedang,87,7
2019,Kabupaten Kepulauan Sula,1119,tinggi,3,55451,sedang,141,8
2024,Kabupaten Halmahera Selatan,2952,rendah,1,137178,tinggi,46,5
2021,Kabupaten Halmahera Tengah,705,rendah,1,91316,rendah,116,7
2024,Kabupaten Pulau Morotai,2579,sedang,3,113064,sedang,112,8
2023,Kabupaten Pulau Taliabu,2880,tinggi,3,113761,rendah,45,9
2022,Kabupaten Halmahera Timur,1873,rendah,1,88870,tinggi,145,3
2024,Kabupaten Halmahera Utara,2111,sedang,3,146566,tinggi,104,3
2020,Kabupaten Halmahera Timur,804,sedang,2,80873,tinggi,85,4
2024,Kabupaten Halmahera Timur,478,rendah,4,108627,tinggi,134,5
2023,Kabupaten Halmahera Tengah,431,tinggi,4,116155,rendah,108,1
2022,Kabupaten Halmahera Timur,2146,sedang,4,149186,sedang,18,7
2021,Kabupaten Pulau Taliabu,1778,tinggi,2,75372,tinggi,94,9
2023,Kabupaten Kepulauan Sula,2695,tinggi,3,53642,tinggi,33,8
2022,Kabupaten Halmahera Barat,2887,tinggi,3,78001,rendah,126,5
2024,Kabupaten Halmahera Selatan,1071,sedang,1,84064,rendah,122,4
2019,Kabupaten Halmahera Barat,1729,tinggi,3,144826,tinggi,138,7
2019,Kabupaten Pulau Morotai,2423,sedang,1,64122,sedang,115,5
2020,Kabupaten Pulau Taliabu,878,tinggi,2,74820,sedang,28,7
2022,Kabupaten Pulau Taliabu,3201,sedang,4,118431,tinggi,11,1
2019,Kabupaten Halmahera Utara,1815,tinggi,4,105745,rendah,47,1
2021,Kabupaten Pulau Taliabu,493,rendah,4,100081,tinggi,127,3
2022,Kabupaten Halmahera Selatan,2307,tinggi,3,120902,tinggi,147,2
2021,Kabupaten Pulau Taliabu,1485,tinggi,1,58711,rendah,118,2
2021,Kabupaten Halmahera Timur,2694,sedang,1,135132,tinggi,143,7
2019,Kabupaten Halmahera Utara,3298,sedang,2,68793,tinggi,126,2
2022,Kabupaten Halmahera Selatan,1684,tinggi,3,58199,tinggi,72,4
2024,Kabupaten Kepulauan Sula,2092,rendah,2,126253,rendah,107,2
2023,Kabupaten Kepulauan Sula,3955,rendah,1,86191,sedang,137,6
2019,Kabupaten Kepulauan Sula,1410,sedang,1,60211,sedang,33,8
2019,Kabupaten Kepulauan Sula,3633,rendah,4,113069,rendah,19,4
2024,Kabupaten Halmahera Timur,2561,tinggi,3,138896,sedang,74,5
2022,Kabupaten Pulau Taliabu,2236,sedang,1,106746,tinggi,98,4
2022,Kabupaten Halmahera Barat,2920,tinggi,4,71542,sedang,141,3
2021,Kabupaten Halmahera Selatan,1079,sedang,3,81312,tinggi,129,5
2024,Kabupaten Halmahera Timur,561,sedang,2,95242,sedang,93,9
2024,Kabupaten Kepulauan Sula,1029,sedang,3,143783,rendah,48,8
2022,Kabupaten Pulau Morotai,582,sedang,3,137893,sedang,64,8
2021,Kabupaten Pulau Taliabu,1790,rendah,1,105388,sedang,61,8
2019,Kabupaten Halmahera Barat,3751,tinggi,1,77691,sedang,39,8
2020,Kabupaten Pulau Morotai,661,tinggi,3,127960,rendah,128,7
2023,Kabupaten Halmahera Utara,3820,tinggi,1,134388,sedang,88,8
2019,Kabupaten Pulau Morotai,740,sedang,1,72601,rendah,26,8
2022,Kabupaten Halmahera Utara,2440,rendah,1,68020,tinggi,17,8
2023,Kabupaten Halmahera Utara,1944,tinggi,4,58155,sedang,71,7
2020,Kabupaten Kepulauan Sula,3100,rendah,4,119119,rendah,13,1
2020,Kabupaten Halmahera Utara,1166,sedang,3,131051,rendah,69,4
2021,Kabupaten Halmahera Tengah,1747,tinggi,1,86777,sedang,26,4
2023,Kabupaten Halmahera Selatan,441,rendah,4,69710,tinggi,49,5
2021,Kabupaten Halmahera Selatan,1614,sedang,3,74532,rendah,7,6
2019,Kabupaten Kepulauan Sula,1755,rendah,1,68601,sedang,58,4
2024,Kabupaten Halmahera Tengah,3096,tinggi,2,113227,tinggi,49,2
2024,Kabupaten Pulau Morotai,2175,tinggi,1,54967,rendah,103,6
2024,Kabupaten Halmahera Timur,2147,sedang,1,134289,rendah,53,8
2023,Kabupaten Pulau Morotai,2012,sedang,4,70022,tinggi,62,8
2024,Kabupaten Pulau Taliabu,3000,sedang,3,93463,tinggi,17,7
2019,Kabupaten Halmahera Timur,1000,rendah,3,124671,sedang,25,6
2021,Kabupaten Halmahera Utara,1297,rendah,4,55722,sedang,131,2
2023,Kabupaten Halmahera Barat,2396,rendah,1,77413,rendah,29,7
2021,Kabupaten Halmahera Timur,1625,sedang,2,142772,tinggi,117,5
2023,Kabupaten Halmahera Barat,1180,tinggi,1,131050,tinggi,26,6
2021,Kabupaten Halmahera Selatan,1513,tinggi,1,135867,tinggi,124,8
2020,Kabupaten Halmahera Barat,1459,rendah,2,133596,rendah,144,8
2021,Kabupaten Halmahera Selatan,854,rendah,4,116732,tinggi,25,3
2024,Kabupaten Halmahera Tengah,703,tinggi,3,62297,tinggi,54,7
2020,Kabupaten Halmahera Tengah,1191,tinggi,4,118323,rendah,73,1
2021,Kabupaten Kepulauan Sula,3212,rendah,4,73816,sedang,120,1
2023,Kabupaten Kepulauan Sula,901,rendah,1,90695,sedang,56,7
2023,Kabupaten Halmahera Utara,2130,tinggi,3,69702,rendah,65,9
2023,Kabupaten Halmahera Timur,640,sedang,3,75242,tinggi,93,7
2022,Kabupaten Halmahera Utara,2268,rendah,4,105841,rendah,86,5
2019,Kabupaten Halmahera Selatan,1003,tinggi,2,117712,sedang,80,8
2023,Kabupaten Halmahera Utara,617,tinggi,4,135663,sedang,108,2
2020,Kabupaten Halmahera Barat,2965,tinggi,2,142764,rendah,118,9
2023,Kabupaten Halmahera Selatan,1686,tinggi,3,103574,rendah,83,6
2022,Kabupaten Kepulauan Sula,2729,sedang,4,135744,sedang,147,9
2024,Kabupaten Halmahera Tengah,2580,tinggi,1,78482,rendah,15,2
2020,Kabupaten Kepulauan Sula,2100,rendah,4,59171,sedang,131,3
2022,Kabupaten Halmahera Timur,1667,sedang,3,148932,rendah,139,8
2024,Kabupaten Halmahera Selatan,1872,tinggi,1,53696,rendah,30,1
2020,Kabupaten Halmahera Selatan,1116,sedang,1,70058,rendah,57,7
2021,Kabupaten Halmahera Barat,852,rendah,2,70313,sedang,146,7
2019,Kabupaten Halmahera Timur,3900,tinggi,1,69149,rendah,128,1
2019,Kabupaten Halmahera Tengah,1155,rendah,1,103521,sedang,48,9
2022,Kabupaten Pulau Morotai,2112,tinggi,4,95740,sedang,136,8
2024,Kabupaten Halmahera Selatan,3166,tinggi,3,54956,rendah,22,4
2019,Kabupaten Halmahera Selatan,3942,tinggi,2,125731,rendah,6,5
2024,Kabupaten Halmahera Barat,482,tinggi,4,132612,sedang,104,2
2024,Kabupaten Halmahera Utara,3412,tinggi,1,116641,sedang,36,9
2022,Kabupaten Pulau Taliabu,1874,sedang,1,113811,tinggi,79,6
2022,Kabupaten Halmahera Tengah,696,tinggi,2,102160,sedang,116,3
2022,Kabupaten Kepulauan Sula,2027,tinggi,3,101313,tinggi,57,7
2019,Kabupaten Halmahera Timur,3126,sedang,2,113232,tinggi,49,9
2022,Kabupaten Halmahera Selatan,1817,sedang,4,65417,tinggi,82,3
2019,Kabupaten Halmahera Selatan,1206,sedang,2,74729,rendah,66,2
2022,Kabupaten Kepulauan Sula,1656,sedang,1,80099,rendah,77,7
2023,Kabupaten Halmahera Tengah,2474,sedang,4,148134,sedang,45,7
2024,Kabupaten Pulau Taliabu,3929,sedang,1,79961,tinggi,79,4
2022,Kabupaten Halmahera Utara,3928,tinggi,3,62602,rendah,20,9
2020,Kabupaten Halmahera Selatan,300,tinggi,1,59256,rendah,123,8
2024,Kabupaten Pulau Taliabu,3539,rendah,1,136120,rendah,67,1
2024,Kabupaten Halmahera Tengah,3991,tinggi,2,84681,rendah,83,1
2022,Kabupaten Kepulauan Sula,318,tinggi,1,141328,rendah,3,5
2021,Kabupaten Halmahera Barat,3703,sedang,4,137440,tinggi,64,6
2022,Kabupaten Halmahera Utara,883,sedang,4,114789,tinggi,40,3
2024,Kabupaten Halmahera Timur,755,tinggi,3,93361,tinggi,59,9
2020,Kabupaten Halmahera Selatan,3304,rendah,4,114503,tinggi,62,6
2024,Kabupaten Halmahera Tengah,2336,sedang,2,84540,sedang,132,4
2020,Kabupaten Halmahera Barat,1432,tinggi,3,76536,tinggi,60,7
2019,Kabupaten Halmahera Timur,3639,tinggi,4,134700,rendah,116,8
2023,Kabupaten Pulau Morotai,2792,rendah,2,113043,tinggi,75,9
2024,Kabupaten Halmahera Tengah,3611,rendah,4,128532,sedang,122,6
2022,Kabupaten Halmahera Tengah,2252,sedang,4,106575,rendah,107,6
2019,Kabupaten Halmahera Timur,3672,rendah,1,52871,tinggi,96,8
2023,Kabupaten Halmahera Barat,2949,tinggi,4,96002,tinggi,91,5
2022,Kabupaten Pulau Morotai,2450,tinggi,4,99812,tinggi,130,3
2021,Kabupaten Pulau Taliabu,1287,rendah,2,72626,rendah,62,3
2022,Kabupaten Pulau Taliabu,3621,rendah,2,109979,rendah,49,6
2020,Kabupaten Kepulauan Sula,3824,rendah,1,126057,sedang,137,2
2020,Kabupaten Halmahera Barat,819,rendah,4,116668,rendah,92,6
2021,Kabupaten Halmahera Utara,3524,sedang,1,149003,rendah,124,6
2019,Kabupaten Halmahera Selatan,1158,rendah,4,130070,tinggi,61,8
2023,Kabupaten Halmahera Timur,473,sedang,3,139390,rendah,48,7
2022,Kabupaten Kepulauan Sula,1666,tinggi,3,92998,tinggi,136,8
2020,Kabupaten Pulau Morotai,3352,rendah,1,113814,tinggi,58,9
2019,Kabupaten Halmahera Timur,2778,sedang,1,95607,rendah,101,6
2021,Kabupaten Halmahera Timur,1026,rendah,1,57812,sedang,112,3
2024,Kabupaten Halmahera Barat,2010,tinggi,2,111844,sedang,62,3
